date,hippo,course,cheval,jockey,cote,probabilite_top3,prediction,realite
2023-06-23,Saint-Cloud,10,Miss Dabirsim,C. Lecoeuvre,21.0,0.028689214691264623,0,0
2021-01-06,Happy Valley,10,Cinquante Cinq,M. Chadwick,0.0,0.9997572435281237,1,0
2018-02-13,Jägersro,9,Divine Ducal,M. Waldmüller,0.0,0.9999888069668512,1,0
2023-10-08,Khemisset,12,LAMHAYDI,ZE. EL BRIOUIL,0.0,0.9997775192205656,1,0
2018-03-04,Rome,6,Damocles,S. Basile,0.0,0.9996092299772377,1,1
2017-04-01,Avignon,13,Cigaro des Iles,P. Labrousse,0.0,0.9937184132485578,1,0
2020-07-24,Syracuse,10,Tabor Caf,L. La Rosa,0.0,0.9999721420220777,1,0
2021-06-10,Visby,14,Duke Snapper,P. Karlsson,0.0,0.9999515225509715,1,1
2020-06-22,Solanget,15,Marlon Donvici,P. Linderoth,0.0,0.9999742797792437,1,0
2022-03-06,Eskilstuna,12,Farnese Boko,K. Gorski,0.0,0.9992765997882005,1,0
2014-08-10,Baden,7,Rebell Venus,K. Dresel,0.0,0.9953263785155566,1,0
2017-08-24,Montecatini,8,Time Taf,M. Angeloni,0.0,0.9999859652329981,1,0
2022-10-12,Enghien,13,Iletro Julry,JP. Gauvin,21.0,0.06171185314371052,0,0
2023-08-23,Lalla Malika,15,NAYYAR AL BORAQ,AA. ARROMALI,0.0,0.9999926812083705,1,0
2023-08-06,Sainte-Marie-du-Mont,14,I Love William,A. Bodin,0.0,0.9281078790546208,1,0
2019-04-12,Hagmyren,12,Bältra Selene,T. Jansson,0.0,0.9999516492863012,1,0
2022-02-06,Baléares - Manacor,11,Ice Too Many,B. Jaume Cirer,0.0,0.9999881928598775,1,1
2016-12-15,Toulouse,16,Ilulisset,N. Perret,5.8,0.1395877667371288,0,0
2022-03-29,Boden,9,Ros Svarten,C. Mansson,0.0,0.9909284451799963,1,0
2015-03-21,Las Piedras,8,Palafrenero,S. Fiorito,4.8,0.442864260354445,0,1
2017-03-19,Gournay-en-Bray,13,Destiny Dream,K. Weska,0.0,0.9953176956901584,1,0
2020-11-25,Solvalla,11,Tilda Express,RN. Skoglund,0.0,0.9999068092420967,1,1
2018-03-04,Bologne,8,Vertudes,D. Nuti,0.0,0.9999658312584507,1,0
2016-11-09,Caen,16,Daisy de Vouède,D. Brohier,9.5,0.1292039502695416,0,0
2020-07-07,Pescara (San Giovanni),11,Bonito Feg,V. Gallo,0.0,0.9999553080950417,1,1
2016-06-05,Arras,16,Veinard du Vilpion,V. Boulogne,0.0,0.9752012505542883,1,0
2018-12-17,Syracuse,12,Ultrasonic Font,A. Pecoraro Jr,0.0,0.9999909654235718,1,0
2023-05-06,Vermo,12,Rudebox,S. Raitala,0.0,0.9950673035600949,1,0
